epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1416,2.20867,4.59345,1.7292,0.02041,0.14286,0.02369,0.01185,2.02967,4.53298,1.65378,0,0,0
2,59.22,2.53103,4.75677,1.81728,0.02041,0.14286,0.02369,0.00948,2.0463,4.53459,1.65961,5.29788e-06,5.29788e-06,5.29788e-06
3,70.681,2.31263,4.72612,1.73751,0.02041,0.14286,0.02843,0.01421,2.04995,4.53613,1.66668,9.43152e-06,9.43152e-06,9.43152e-06
4,81.4405,2.0858,4.60687,1.72874,0.02041,0.14286,0.03554,0.01777,2.03366,4.5298,1.68007,1.24009e-05,1.24009e-05,1.24009e-05
5,99.9719,2.14151,4.54298,1.63077,0.02041,0.14286,0.04738,0.02369,2.03583,4.53033,1.67774,1.42061e-05,1.42061e-05,1.42061e-05
6,137.964,2.35196,4.65152,1.82603,0.02041,0.14286,0.04738,0.02369,2.01664,4.52113,1.68296,1.4847e-05,1.4847e-05,1.4847e-05
7,156.199,2.21446,4.58943,1.72117,0.01786,0.14286,0.04738,0.02843,2.00584,4.52133,1.70225,1.43237e-05,1.43237e-05,1.43237e-05
